coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
XMR,bbrsi,2021-01-29 21:05:00,5m,,3,0.34,1.01,
XMR,bbrsi,2021-01-30 21:05:00,5m,66.7,3,-0.67,-2.02,
XMR,bbrsi,2021-01-31 21:05:00,5m,,3,0.73,2.20,
XMR,bbrsi,2021-02-01 21:05:00,5m,,2,0.69,1.38,
XMR,bbrsi,2021-02-02 21:05:00,5m,66.7,3,-0.08,-0.24,
XMR,bbrsi,2021-02-03 21:05:00,5m,66.7,3,0.24,0.71,
XMR,bbrsi,2021-02-04 21:05:00,5m,,4,0.61,2.42,
XMR,bbrsi,2021-02-05 21:05:00,5m,66.7,3,-0.25,-0.75,
XMR,bbrsi,2021-02-06 21:05:00,5m,75.0,4,0.04,0.18,
XMR,bbrsi,2021-02-07 21:05:00,5m,,3,0.67,2.01,
XMR,bbrsi,2021-02-08 21:05:00,5m,,2,0.25,0.50,
XMR,bbrsi,2021-02-09 21:05:00,5m,,4,0.90,3.62,
XMR,bbrsi,2021-02-10 21:05:00,5m,,3,0.44,1.33,
XMR,bbrsi,2021-02-11 22:20:00,5m,,2,1.76,3.51,
XMR,bbrsi,2021-02-12 22:20:00,5m,80.0,5,1.26,6.32,
XMR,bbrsi,2021-02-13 22:20:00,5m,50.0,2,-0.27,-0.55,
XMR,bbrsi,2021-02-14 22:20:00,5m,40.0,5,-0.76,-3.78,
XMR,bbrsi,2021-02-15 22:20:00,5m,60.0,5,-0.66,-3.32,
XMR,bbrsi,2021-02-16 22:20:00,5m,,1,2.61,2.61,
XMR,bbrsi,2021-02-17 22:20:00,5m,33.3,3,-2.18,-6.53,
XMR,bbrsi,2021-02-18 22:20:00,5m,75.0,4,0.20,0.82,
XMR,bbrsi,2021-02-19 22:20:00,5m,60.0,5,-0.78,-3.89,
XMR,bbrsi,2021-02-20 22:20:00,5m,80.0,5,0.18,0.89,
XMR,bbrsi,2021-02-21 22:20:00,5m,57.1,7,0.08,0.56,
XMR,bbrsi,2021-02-22 22:20:00,5m,50.0,4,0.16,0.65,
XMR,bbrsi,2021-02-23 22:20:00,5m,60.0,5,0.22,1.09,
XMR,bbrsi,2021-02-24 22:20:00,5m,33.3,3,-1.25,-3.76,
XMR,bbrsi,2021-02-25 22:20:00,5m,50.0,4,-0.85,-3.39,
XMR,bbrsi,2021-02-26 22:20:00,5m,,1,0.20,0.20,
XMR,bbrsi,2021-02-27 22:20:00,5m,,3,0.59,1.78,
XMR,bbrsi,2021-02-28 22:20:00,5m,33.3,3,-0.97,-2.90,
XMR,bbrsi,2021-03-01 22:20:00,5m,33.3,3,-1.34,-4.03,
XMR,bbrsi,2021-03-02 22:20:00,5m,,3,0.56,1.69,
XMR,bbrsi,2021-03-03 22:20:00,5m,66.7,6,0.42,2.51,
XMR,bbrsi,2021-03-04 22:20:00,5m,,3,0.51,1.54,
XMR,bbrsi,2021-03-05 22:20:00,5m,66.7,3,0.25,0.75,
XMR,bbrsi,2021-03-06 23:50:00,5m,,3,0.44,1.33,
XMR,bbrsi,2021-03-07 23:50:00,5m,,4,0.52,2.06,
XMR,bbrsi,2021-03-08 23:50:00,5m,,4,0.59,2.34,
XMR,bbrsi,2021-03-09 23:50:00,5m,,4,0.68,2.73,
XMR,bbrsi,2021-03-10 23:50:00,5m,66.7,3,-0.06,-0.17,
XMR,bbrsi,2021-03-11 23:50:00,5m,,4,0.57,2.28,
XMR,bbrsi,2021-03-12 23:50:00,5m,66.7,3,0.12,0.35,
XMR,bbrsi,2021-03-13 23:50:00,5m,66.7,3,-1.11,-3.32,
XMR,bbrsi,2021-03-14 23:50:00,5m,33.3,3,-2.45,-7.34,
XMR,bbrsi,2021-03-15 23:50:00,5m,,3,0.25,0.76,
XMR,bbrsi,2021-03-16 23:50:00,5m,,5,0.77,3.85,
XMR,bbrsi,2021-03-17 23:50:00,5m,75.0,4,0.15,0.58,
XMR,bbrsi,2021-03-18 23:50:00,5m,,5,0.91,4.56,
XMR,bbrsi,2021-03-19 23:50:00,5m,,1,-1.14,-1.14,
XMR,bbrsi,2021-03-20 23:50:00,5m,66.7,3,0.06,0.18,
XMR,bbrsi,2021-03-21 23:50:00,5m,60.0,5,-0.62,-3.08,
XMR,bbrsi,2021-03-22 23:50:00,5m,,3,0.49,1.46,
XMR,bbrsi,2021-03-23 23:50:00,5m,,2,0.30,0.60,
XMR,bbrsi,2021-03-24 23:50:00,5m,,3,0.92,2.76,
XMR,bbrsi,2021-03-25 23:50:00,5m,66.7,3,-0.88,-2.65,
XMR,bbrsi,2021-03-26 23:50:00,5m,,4,0.24,0.97,
XMR,bbrsi,2021-03-27 23:50:00,5m,66.7,3,-0.25,-0.76,
XMR,bbrsi,2021-03-29 00:50:00,5m,,3,0.17,0.52,
XMR,bbrsi,2021-03-30 00:50:00,5m,,3,0.48,1.43,
XMR,bbrsi,2021-03-31 00:50:00,5m,50.0,4,-0.82,-3.29,
XMR,bbrsi,2021-04-01 00:50:00,5m,50.0,2,0.19,0.38,
XMR,bbrsi,2021-04-02 00:50:00,5m,,2,0.81,1.62,
XMR,bbrsi,2021-04-03 00:50:00,5m,33.3,3,-1.17,-3.51,
XMR,bbrsi,2021-04-04 00:50:00,5m,,2,0.05,0.10,
XMR,bbrsi,2021-04-05 00:50:00,5m,,5,0.56,2.80,
XMR,bbrsi,2021-04-06 00:50:00,5m,,1,0.46,0.46,
XMR,bbrsi,2021-04-07 00:50:00,5m,50.0,4,-0.38,-1.52,
XMR,bbrsi,2021-04-08 00:50:00,5m,,2,0.73,1.46,
XMR,bbrsi,2021-04-09 00:50:00,5m,50.0,2,-1.22,-2.44,
XMR,bbrsi,2021-04-10 00:50:00,5m,,2,0.74,1.49,
XMR,bbrsi,2021-04-11 00:50:00,5m,,3,0.31,0.94,
XMR,bbrsi,2021-04-12 00:50:00,5m,33.3,3,-1.19,-3.56,
XMR,bbrsi,2021-04-13 00:50:00,5m,,4,0.83,3.33,
XMR,bbrsi,2021-04-14 00:50:00,5m,80.0,5,-0.13,-0.63,
XMR,bbrsi,2021-04-15 00:50:00,5m,66.7,3,0.40,1.21,
XMR,bbrsi,2021-04-16 00:50:00,5m,66.7,3,-0.76,-2.29,
XMR,bbrsi,2021-04-17 00:50:00,5m,,4,1.40,5.59,
XMR,bbrsi,2021-04-18 00:50:00,5m,66.7,3,2.51,7.53,
XMR,bbrsi,2021-04-19 00:50:00,5m,60.0,5,-0.67,-3.33,
XMR,bbrsi,2021-04-20 00:50:00,5m,,3,0.87,2.60,
XMR,bbrsi,2021-04-21 03:20:00,5m,75.0,4,0.20,0.80,
XMR,bbrsi,2021-04-22 03:20:00,5m,50.0,4,-0.70,-2.81,
XMR,bbrsi,2021-04-23 03:20:00,5m,,3,1.36,4.08,
XMR,bbrsi,2021-04-24 03:20:00,5m,,2,1.55,3.11,
XMR,bbrsi,2021-04-25 03:20:00,5m,66.7,6,-0.00,-0.00,
XMR,bbrsi,2021-04-26 08:00:00,5m,66.7,3,-0.38,-1.13,
XMR,bbrsi,2021-04-27 08:00:00,5m,66.7,3,-0.32,-0.95,
XMR,bbrsi,2021-04-28 08:00:00,5m,66.7,3,-0.41,-1.24,
XMR,bbrsi,2021-04-29 08:00:00,5m,,2,0.43,0.85,
XMR,bbrsi,2021-04-30 08:00:00,5m,,2,0.45,0.89,
XMR,bbrsi,2021-05-01 08:00:00,5m,80.0,5,0.23,1.16,
XMR,bbrsi,2021-05-02 08:00:00,5m,,2,0.45,0.90,
