coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
LTC,bbrsi,2021-12-07 13:30:00,5m,66.7,3,-0.87,-2.60,
LTC,bbrsi,2021-12-08 13:30:00,5m,80.0,5,0.50,2.52,
LTC,bbrsi,2021-12-09 13:30:00,5m,50.0,2,-1.48,-2.96,
LTC,bbrsi,2021-12-10 13:30:00,5m,,3,0.68,2.04,
LTC,bbrsi,2021-12-11 13:30:00,5m,,3,0.59,1.78,
LTC,bbrsi,2021-12-12 13:30:00,5m,66.7,3,-0.91,-2.74,
LTC,bbrsi,2021-12-13 13:30:00,5m,80.0,5,0.08,0.38,
LTC,bbrsi,2021-12-14 13:30:00,5m,66.7,3,0.48,1.43,
LTC,bbrsi,2021-12-15 13:30:00,5m,,2,0.37,0.73,
LTC,bbrsi,2021-12-16 13:30:00,5m,33.3,3,-1.63,-4.89,
LTC,bbrsi,2021-12-17 13:30:00,5m,,2,1.22,2.43,
LTC,bbrsi,2021-12-18 13:30:00,5m,50.0,2,-0.26,-0.52,
LTC,bbrsi,2021-12-19 13:30:00,5m,75.0,4,-0.11,-0.44,
LTC,bbrsi,2021-12-20 13:30:00,5m,,2,0.26,0.52,
LTC,bbrsi,2021-12-21 13:30:00,5m,,3,0.68,2.05,
LTC,bbrsi,2021-12-22 13:30:00,5m,50.0,2,-0.17,-0.34,
LTC,bbrsi,2021-12-23 13:30:00,5m,,1,-0.93,-0.93,
LTC,bbrsi,2021-12-24 13:30:00,5m,80.0,5,0.15,0.73,
LTC,bbrsi,2021-12-25 13:30:00,5m,,2,-1.85,-3.70,
LTC,bbrsi,2021-12-26 13:30:00,5m,,4,0.28,1.13,
LTC,bbrsi,2021-12-27 13:30:00,5m,75.0,4,-0.71,-2.86,
LTC,bbrsi,2021-12-28 13:30:00,5m,75.0,4,-0.41,-1.64,
LTC,bbrsi,2021-12-29 13:30:00,5m,,4,0.48,1.92,
LTC,bbrsi,2021-12-30 13:30:00,5m,,1,0.07,0.07,
LTC,bbrsi,2021-12-31 13:30:00,5m,50.0,2,-1.78,-3.56,
LTC,bbrsi,2022-01-01 13:30:00,5m,,2,0.23,0.47,
LTC,bbrsi,2022-01-02 13:30:00,5m,50.0,2,0.03,0.06,
LTC,bbrsi,2022-01-03 13:30:00,5m,,1,0.13,0.13,
LTC,bbrsi,2022-01-04 13:30:00,5m,66.7,3,-0.24,-0.73,
